team_A,team_B,toss_winner,top_batsmen_points_A,top_batsmen_points_B,top_baller_points_A,top_baller_points_B,match_won_after_winning_toss_A,match_won_after_winning_toss_B,runs_in_powerplay_A,runs_in_powerplay_B,run_rate_A,run_rate_B,most_value_player_points_A,most_value_player_points_B,win_ratio_A,win_ratio_B,ground_A,ground_B,winner
4,9,1,0.2850000000000001,0.21749999999999997,0.7129186602870814,0.3098086124401914,0.0,0.0,0.6133333333333332,0.24761904761904763,-0.147,-1.16,0.5364963503649636,0.5396246089676747,0.0,0.0,0,1,0
0,6,0,0.9624999999999999,0.9550000000000001,0.514354066985646,0.4832535885167465,0.0,0.0,0.5066666666666665,0.6000000000000001,-0.192,0.509,0.7090719499478624,0.7580813347236706,0.0,0.0,0,0,0
11,1,0,0.5499999999999999,0.2850000000000001,0.5227272727272728,0.5454545454545455,0.0,0.0,0.33333333333333326,0.5238095238095238,0.632,0.342,0.9562043795620438,0.5396246089676747,0.0,0.0,0,0,1
7,9,0,0.33500000000000013,0.21749999999999997,1.0,0.3098086124401914,0.0,0.0,0.4266666666666666,0.380952380952381,0.57,-1.16,0.7549530761209593,0.5396246089676747,0.0,0.0,1,0,1
2,4,0,0.48749999999999993,0.2850000000000001,0.5610047846889953,0.7129186602870814,0.0,0.0,0.31999999999999995,0.24761904761904763,-0.467,-0.147,0.6235662148070907,0.5364963503649636,0.0,0.0,0,1,1
6,11,0,0.9550000000000001,0.5499999999999999,0.4832535885167465,0.5227272727272728,0.0,0.0,0.5199999999999999,0.5047619047619049,0.509,0.632,0.7580813347236706,0.9562043795620438,0.0,0.0,0,1,1
2,1,0,0.48749999999999993,0.2850000000000001,0.5610047846889953,0.5454545454545455,0.0,0.0,0.13333333333333333,0.4571428571428572,-0.467,0.342,0.6235662148070907,0.5396246089676747,0.0,0.0,0,0,1
0,7,1,0.9624999999999999,0.33500000000000013,0.514354066985646,1.0,0.0,0.0,0.5066666666666665,0.49523809523809526,-0.192,0.57,0.7090719499478624,0.7549530761209593,0.0,0.0,1,0,0
2,11,1,0.48749999999999993,0.5499999999999999,0.5610047846889953,0.5227272727272728,0.0,0.0,0.5733333333333334,0.6952380952380953,-0.467,0.632,0.6235662148070907,0.9562043795620438,0.0,0.0,0,0,1
6,7,1,0.9550000000000001,0.33500000000000013,0.4832535885167465,1.0,0.0,0.0,0.6,0.37142857142857144,0.509,0.57,0.7580813347236706,0.7549530761209593,0.0,0.0,0,0,0
9,11,1,0.21749999999999997,0.5499999999999999,0.3098086124401914,0.5227272727272728,0.0,0.0,0.5599999999999999,0.4285714285714286,-1.16,0.632,0.5396246089676747,0.9562043795620438,0.0,0.0,1,0,1
4,0,0,0.2850000000000001,0.9624999999999999,0.7129186602870814,0.514354066985646,0.0,0.0,0.6133333333333332,0.4285714285714286,-0.147,-0.192,0.5364963503649636,0.7090719499478624,0.0,0.0,0,1,1
7,2,1,0.33500000000000013,0.48749999999999993,1.0,0.5610047846889953,0.0,0.0,0.16,0.5714285714285715,0.57,-0.467,0.7549530761209593,0.6235662148070907,0.0,0.0,1,0,1
1,6,0,0.2850000000000001,0.9550000000000001,0.5454545454545455,0.4832535885167465,0.0,0.0,0.39999999999999997,0.5238095238095238,0.342,0.509,0.5396246089676747,0.7580813347236706,0.0,0.0,0,0,1
0,9,0,0.9624999999999999,0.21749999999999997,0.514354066985646,0.3098086124401914,0.0,0.0,0.27999999999999997,0.4285714285714286,-0.192,-1.16,0.7090719499478624,0.5396246089676747,0.0,0.0,0,1,0
4,7,0,0.2850000000000001,0.33500000000000013,0.7129186602870814,1.0,0.0,0.0,0.33333333333333326,0.36190476190476195,-0.147,0.57,0.5364963503649636,0.7549530761209593,0.0,0.0,1,0,1
1,9,1,0.2850000000000001,0.21749999999999997,0.5454545454545455,0.3098086124401914,0.0,0.0,0.5733333333333334,0.5238095238095238,0.342,-1.16,0.5396246089676747,0.5396246089676747,0.0,0.0,0,0,0
2,6,1,0.48749999999999993,0.9550000000000001,0.5610047846889953,0.4832535885167465,0.0,0.0,0.4666666666666666,0.39047619047619053,-0.467,0.509,0.6235662148070907,0.7580813347236706,0.0,0.0,0,0,1
11,4,0,0.5499999999999999,0.2850000000000001,0.5227272727272728,0.7129186602870814,0.0,0.0,0.39999999999999997,0.48571428571428577,0.632,-0.147,0.9562043795620438,0.5364963503649636,0.0,0.0,1,0,0
0,1,0,0.9624999999999999,0.2850000000000001,0.514354066985646,0.5454545454545455,0.0,0.0,0.4266666666666666,0.6095238095238096,-0.192,0.342,0.7090719499478624,0.5396246089676747,0.0,0.0,1,0,1
6,4,0,0.9550000000000001,0.2850000000000001,0.4832535885167465,0.7129186602870814,0.0,0.0,0.3466666666666667,0.40952380952380957,0.509,-0.147,0.7580813347236706,0.5364963503649636,0.0,0.0,0,0,0
9,2,1,0.21749999999999997,0.48749999999999993,0.3098086124401914,0.5610047846889953,0.0,0.0,0.4533333333333332,0.29523809523809524,-1.16,-0.467,0.5396246089676747,0.6235662148070907,0.0,0.0,1,0,0
7,1,1,0.33500000000000013,0.2850000000000001,1.0,0.5454545454545455,0.0,0.0,0.4666666666666666,0.3523809523809524,0.57,0.342,0.7549530761209593,0.5396246089676747,0.0,0.0,1,0,0
0,11,0,0.9624999999999999,0.5499999999999999,0.514354066985646,0.5227272727272728,0.0,0.0,0.30666666666666664,0.4190476190476191,-0.192,0.632,0.7090719499478624,0.9562043795620438,0.0,0.0,0,1,1
9,6,1,0.21749999999999997,0.9550000000000001,0.3098086124401914,0.4832535885167465,0.0,0.0,0.14666666666666664,0.49523809523809526,-1.16,0.509,0.5396246089676747,0.7580813347236706,0.0,0.0,1,0,1
0,2,1,0.9624999999999999,0.48749999999999993,0.514354066985646,0.5610047846889953,0.0,0.0,0.2533333333333333,0.4761904761904762,-0.192,-0.467,0.7090719499478624,0.6235662148070907,0.0,0.0,1,0,1
11,7,1,0.5499999999999999,0.33500000000000013,0.5227272727272728,1.0,0.0,0.0,0.4399999999999999,0.3238095238095238,0.632,0.57,0.9562043795620438,0.7549530761209593,0.0,0.0,0,1,1
1,0,1,0.2850000000000001,0.9624999999999999,0.5454545454545455,0.514354066985646,0.0,0.0,0.4666666666666666,0.5904761904761905,0.342,-0.192,0.5396246089676747,0.7090719499478624,0.0,0.0,0,0,1
4,9,0,0.2850000000000001,0.21749999999999997,0.7129186602870814,0.3098086124401914,0.0,0.0,0.3466666666666667,0.33333333333333337,-0.147,-1.16,0.5364963503649636,0.5396246089676747,0.0,0.0,1,0,0
2,11,1,0.48749999999999993,0.5499999999999999,0.5610047846889953,0.5227272727272728,0.0,0.0,0.4666666666666666,0.4761904761904762,-0.467,0.632,0.6235662148070907,0.9562043795620438,0.0,0.0,0,1,1
0,6,1,0.9624999999999999,0.9550000000000001,0.514354066985646,0.4832535885167465,0.0,0.0,0.27999999999999997,0.37142857142857144,-0.192,0.509,0.7090719499478624,0.7580813347236706,0.0,0.0,1,0,0
