team_A,team_B,toss_winner,top_batsmen_points_A,top_batsmen_points_B,top_baller_points_A,top_baller_points_B,match_won_after_winning_toss_A,match_won_after_winning_toss_B,runs_in_powerplay_A,runs_in_powerplay_B,run_rate_A,run_rate_B,most_value_player_points_A,most_value_player_points_B,win_ratio_A,win_ratio_B,ground_A,ground_B
4,0,1,0.9907192575406025,0.33410672853828416,0.25464190981432333,0.8063660477453585,0.571428571,0.640449438,0.18181818181818188,0.7833333333333333,0.507,0.361,0.7195861202509222,1.0000000000000004,0.61,0.39,0,0
1,3,1,0.8283062645011601,0.27378190255220414,0.8289124668435015,0.0,0.46666666700000003,0.432098765,0.8636363636363635,0.8666666666666667,-0.23,-0.26,0.0,0.2996969065009001,0.41,0.59,0,0
7,5,1,1.0,0.35498839907192625,1.0,0.8554376657824934,0.5,0.50617284,0.6818181818181819,0.7833333333333333,0.486,-0.589,0.9557901337885055,0.7483277594589626,0.57,0.43,0,0
6,0,0,0.35730858468677607,0.33410672853828416,0.614058355437666,0.8063660477453585,0.525,0.640449438,0.3181818181818181,0.7666666666666666,-0.09300000000000001,0.361,0.4249581941001348,1.0000000000000004,0.33,0.67,0,0
2,4,1,0.0,0.9907192575406025,0.6167108753315649,0.25464190981432333,0.576086957,0.571428571,0.18181818181818188,0.75,0.6,0.507,0.5390363715428443,0.7195861202509222,0.24,0.76,0,0
3,5,1,0.27378190255220414,0.35498839907192625,0.0,0.8554376657824934,0.432098765,0.50617284,0.40909090909090895,0.8,-0.26,-0.589,0.2996969065009001,0.7483277594589626,0.5,0.5,0,0
0,1,0,0.33410672853828416,0.8283062645011601,0.8063660477453585,0.8289124668435015,0.640449438,0.46666666700000003,0.2727272727272727,0.8,0.361,-0.23,1.0000000000000004,0.0,0.67,0.33,0,0
2,7,0,0.0,1.0,0.6167108753315649,1.0,0.576086957,0.5,0.36363636363636354,0.8166666666666667,0.6,0.486,0.5390363715428443,0.9557901337885055,0.59,0.41,0,0
6,3,0,0.35730858468677607,0.27378190255220414,0.614058355437666,0.0,0.525,0.432098765,0.5454545454545456,0.75,-0.09300000000000001,-0.26,0.4249581941001348,0.2996969065009001,0.43,0.47,0,0
5,4,0,0.35498839907192625,0.9907192575406025,0.8554376657824934,0.25464190981432333,0.50617284,0.571428571,0.2727272727272727,0.7666666666666666,-0.589,0.507,0.7483277594589626,0.7195861202509222,0.36,0.64,0,0
