id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3,Top Batsmen Points(Team A),Top Batsmen Points(Team B),Top Baller Points(Team A),Top Baller Points(Team B),Match Won after winning Toss Team A,Match Won after winning Toss Team B,runs in pp team a,runs in pp team b,Run Rate(Team A),Run Rate(Team B),Most Value Player Points(Team A),Most Value Player Points(Team B),Win ratio (Team A),Win ratio (Team B)
625,2016,Visakhapatnam,17-05-2016,DC,RPSs,RPSs,field,normal,1,RPSs,19,0,AB Dinda,Dr. Y.S. Rajasekhara ReDCy ACA-VDECA Cricket Stadium,Nitin Menon,C ShamshuDCin,,610,764,580,719,0.410714286,0,28,44,-0.155,0.015,959,486.5,0,0
626,2016,Bangalore,18-05-2016,RCB,KXIP,KXIP,field,normal,1,RCB,82,0,V Kohli,M Chinnaswamy Stadium,KN Ananthapadmanabhan,M Erasmus,,613,662,692,563,0.527272727,0.448275862,63,59,0.932,-0.646,959,364,0.375,0.625
627,2016,Kanpur,19-05-2016,KKR,GL,GL,field,normal,0,GL,0,6,DR Smith,Green Park,AK Chaudhary,CK Nandan,,610,513,833,500,0.53968254,0,44,55,0.106,-0.374,559,630.5,0,0
628,2016,Raipur,20-05-2016,SRH,DC,DC,field,normal,0,DC,0,6,KK Nair,Shaheed Veer Narayan Singh International Stadium,A Nand Kishore,BNJ Oxenford,,603,610,650,580,0.35,0.410714286,46,37,0.245,-0.155,825.5,959,0.83,0.17
629,2016,Visakhapatnam,21-05-2016,KXIP,RPSs,KXIP,bat,normal,0,RPSs,0,4,MS Dhoni,Dr. Y.S. Rajasekhara ReDCy ACA-VDECA Cricket Stadium,HDPK Dharmasena,Nitin Menon,,662,764,563,719,0.448275862,0,52,44,-0.646,0.015,364,486.5,0,0
630,2016,Kanpur,21-05-2016,MI,GL,GL,field,normal,0,GL,0,6,SK Raina,Green Park,AK Chaudhary,CK Nandan,,659,513,393,500,0.553846154,0,49,70,-0.146,-0.374,566,630.5,0,0
631,2016,Kolkata,22-05-2016,KKR,SRH,SRH,field,normal,0,KKR,22,0,YK Pathan,Eden Gardens,KN Ananthapadmanabhan,M Erasmus,,610,603,833,650,0.53968254,0.35,48,48,0.106,0.245,559,825.5,0.7,0.3
632,2016,Raipur,22-05-2016,DC,RCB,RCB,field,normal,0,RCB,0,6,V Kohli,Shaheed Veer Narayan Singh International Stadium,A Nand Kishore,BNJ Oxenford,,610,613,580,692,0.410714286,0.527272727,43,49,-0.155,0.932,959,959,0.36,0.64
633,2016,Bangalore,24-05-2016,GL,RCB,RCB,field,normal,0,RCB,0,4,AB de Villiers,M Chinnaswamy Stadium,AK Chaudhary,HDPK Dharmasena,,513,613,500,692,0,0.527272727,23,31,-0.374,0.932,630.5,959,0,0
634,2016,Delhi,25-05-2016,SRH,KKR,KKR,field,normal,0,SRH,22,0,MC Henriques,Feroz Shah Kotla,M Erasmus,C ShamshuDCin,,603,610,650,833,0.35,0.53968254,43,46,0.245,0.106,825.5,559,0.3,0.7
635,2016,Delhi,27-05-2016,GL,SRH,SRH,field,normal,0,SRH,0,4,DA Warner,Feroz Shah Kotla,M Erasmus,CK Nandan,,513,603,500,650,0,0.35,38,46,-0.374,0.245,630.5,825.5,0,0
636,2016,Bangalore,29-05-2016,SRH,RCB,SRH,bat,normal,0,SRH,8,0,BCJ Cutting,M Chinnaswamy Stadium,HDPK Dharmasena,BNJ Oxenford,,603,613,650,692,0.35,0.527272727,59,59,0.245,0.932,825.5,959,0.5,0.5
1,2017,Hyderabad,05-04-2017,SRH,RCB,RCB,field,normal,0,SRH,35,0,Yuvraj Singh,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,NJ Llong,,765,477,682,852,0.466666667,0.540983607,59,54,0.599,-1.299,688,464,0.56,0.44
2,2017,Pune,06-04-2017,MI,RPS,RPS,field,normal,0,RPS,0,7,SPD Smith,Maharashtra Cricket Association Stadium,A Nand Kishore,S Ravi,,697,477,644,707,0.554054054,0,61,59,0.784,0.176,592.5,0,0.5,0.5
3,2017,Rajkot,07-04-2017,GL,KKR,KKR,field,normal,0,KKR,0,10,CA Lynn,Saurashtra Cricket Association Stadium,Nitin Menon,CK Nandan,,650,623,518,560,0.75,0.550724638,52,73,-0.412,0.642,481,691,1,0
4,2017,Indore,08-04-2017,RPS,KXIP,KXIP,field,normal,0,KXIP,0,6,GJ Maxwell,Holkar Cricket Stadium,AK Chaudhary,C ShamshuDCin,,477,637,707,580,0,0.40625,35,56,0.176,-0.009,0,618.5,0.5,0.5
5,2017,Bangalore,08-04-2017,RCB,DC,RCB,bat,normal,0,RCB,15,0,KM Jadhav,M Chinnaswamy Stadium,,,,477,623,852,452,0.540983607,0.4375,41,43,-1.299,-0.512,464,464,0.625,0.375
6,2017,Hyderabad,09-04-2017,GL,SRH,SRH,field,normal,0,SRH,0,9,Rashid Khan,"Rajiv Gandhi International Stadium, Uppal",A Deshmukh,NJ Llong,,650,765,518,682,0.75,0.466666667,40,59,-0.412,0.599,481,688,0,1
7,2017,Mumbai,09-04-2017,KKR,MI,MI,field,normal,0,MI,0,4,N Rana,Wankhede Stadium,Nitin Menon,CK Nandan,,623,697,560,644,0.550724638,0.554054054,59,49,0.642,0.784,691,592.5,0.28,0.72
8,2017,Indore,10-04-2017,RCB,KXIP,RCB,bat,normal,0,KXIP,0,8,AR Patel,Holkar Cricket Stadium,AK Chaudhary,C ShamshuDCin,,477,637,852,580,0.540983607,0.40625,23,62,-1.299,-0.009,464,618.5,0.44,0.56
