match_day,match_no,day,time_IST,time_UAE,venue,home,away,Top Batsmen Points(Team A),Top Batsmen Points(Team B),Top Baller Points(Team A),Top Baller Points(Team B),Match Won after winning Toss Team A,Match Won after winning Toss Team B,Run Rate(Team A),Run Rate(Team B),Most Value Player Points(Team A),Most Value Player Points(Team B),,Toss_Winner
23,27,SUN,7:30PM,6:00PM,ABU DHABI,MUMBAI INDIANS,DELHI CAPITALS,668.8,654.8,563.4,650,0.571428571,0.466666667,0.507,-0.23,696.8333333,582.0833333,,MUMBAI INDIANS
24,28,MON,7:30PM,6:00PM,SHARJAH,ROYAL CHALLENGERS BANGALORE,KOLKATA KNIGHT RIDERS,614,583.4,654,618,0.50617284,0.576086957,-0.589,0.6,701.4166667,668.0416667,,KOLKATA KNIGHT RIDERS
25,29,TUE,7:30PM,6:00PM,DUBAI,SUNRISERS HYDERABAD,CHENNAI SUPER KINGS,669.6,612.2,675.8,646.6,0.5,0.640449438,0.486,0.361,734.5,741.55,,SUNRISERS HYDERABAD
26,30,WED,7:30PM,6:00PM,DUBAI,DELHI CAPITALS,RAJASTHAN ROYALS,654.8,614.2,650,617.6,0.466666667,0.525,-0.23,-0.093,582.0833333,649.85,,DELHI CAPITALS
27,31,THU,7:30PM,6:00PM,SHARJAH,ROYAL CHALLENGERS BANGALORE,KINGS XI PUNJAB,614,607,654,525,0.50617284,0.432098765,-0.589,-0.26,701.4166667,629.875,,ROYAL CHALLENGERS BANGALORE
28,32,FRI,7:30PM,6:00PM,ABU DHABI,MUMBAI INDIANS,KOLKATA KNIGHT RIDERS,668.8,583.4,563.4,618,0.571428571,0.576086957,0.507,0.6,696.8333333,668.0416667,,MUMBAI INDIANS
29,33,SAT,3:30PM,2:00PM,DUBAI,RAJASTHAN ROYALS,ROYAL CHALLENGERS BANGALORE,614.2,614,617.6,654,0.525,0.50617284,-0.093,-0.589,649.85,701.4166667,,RAJASTHAN ROYALS
29,34,SAT,7:30PM,6:00PM,SHARJAH,DELHI CAPITALS,CHENNAI SUPER KINGS,654.8,612.2,650,646.6,0.466666667,0.640449438,-0.23,0.361,582.0833333,741.55,,CHENNAI SUPER KINGS
30,35,SUN,3:30PM,2:00PM,ABU DHABI,SUNRISERS HYDERABAD,KOLKATA KNIGHT RIDERS,669.6,583.4,675.8,618,0.5,0.576086957,0.486,0.6,734.5,668.0416667,,KOLKATA KNIGHT RIDERS
30,36,SUN,7:30PM,6:00PM,DUBAI,MUMBAI INDIANS,KINGS XI PUNJAB,668.8,607,563.4,525,0.571428571,0.432098765,0.507,-0.26,696.8333333,629.875,,MUMBAI INDIANS
31,37,MON,7:30PM,6:00PM,ABU DHABI,CHENNAI SUPER KINGS,RAJASTHAN ROYALS,612.2,614.2,646.6,617.6,0.640449438,0.525,0.361,-0.093,741.55,649.85,,CHENNAI SUPER KINGS
32,38,TUE,7:30PM,6:00PM,DUBAI,KINGS XI PUNJAB,DELHI CAPITALS,607,654.8,525,650,0.432098765,0.466666667,-0.26,-0.23,629.875,582.0833333,,KINGS XI PUNJAB
33,39,WED,7:30PM,6:00PM,ABU DHABI,KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE,583.4,614,618,654,0.576086957,0.50617284,0.6,-0.589,668.0416667,701.4166667,,KOLKATA KNIGHT RIDERS
34,40,THU,7:30PM,6:00PM,DUBAI,RAJASTHAN ROYALS,SUNRISERS HYDERABAD,614.2,669.6,617.6,675.8,0.525,0.5,-0.093,0.486,649.85,734.5,,RAJASTHAN ROYALS
35,41,FRI,7:30PM,6:00PM,SHARJAH,CHENNAI SUPER KINGS,MUMBAI INDIANS,612.2,668.8,646.6,563.4,0.640449438,0.571428571,0.361,0.507,741.55,696.8333333,,CHENNAI SUPER KINGS
36,42,SAT,3:30PM,2:00PM,ABU DHABI,KOLKATA KNIGHT RIDERS,DELHI CAPITALS,583.4,654.8,618,650,0.576086957,0.466666667,0.6,-0.23,668.0416667,582.0833333,,KOLKATA KNIGHT RIDERS
