,Unnamed: 0,match_day,match_no,day,time_IST,time_UAE,venue,home,away,Top Batsmen Points(Team A),Top Batsmen Points(Team B),Top Baller Points(Team A),Top Baller Points(Team B),Match Won after winning Toss Team A,Match Won after winning Toss Team B,Run Rate(Team A),Run Rate(Team B)
32,32,29,33,SAT,3:30PM,2:00PM,DUBAI,RAJASTHAN ROYALS,ROYAL CHALLENGERS BANGALORE,614.2,614.0,617.6,654.0,0.525,0.5061728395061729,-0.09300000000000001,-0.589
33,33,29,34,SAT,7:30PM,6:00PM,SHARJAH,DELHI CAPITALS,CHENNAI SUPER KINGS,654.8,612.2,650.0,646.6,0.4666666666666667,0.6404494382022472,-0.23,0.361
34,34,30,35,SUN,3:30PM,2:00PM,ABU DHABI,SUNRISERS HYDERABAD,KOLKATA KNIGHT RIDERS,669.6,583.4,675.8,618.0,0.5,0.5760869565217391,0.486,0.6
35,35,30,36,SUN,7:30PM,6:00PM,DUBAI,MUMBAI INDIANS,KINGS XI PUNJAB,668.8,607.0,563.4,525.0,0.5714285714285714,0.4320987654320987,0.507,-0.26
36,36,31,37,MON,7:30PM,6:00PM,ABU DHABI,CHENNAI SUPER KINGS,RAJASTHAN ROYALS,612.2,614.2,646.6,617.6,0.6404494382022472,0.525,0.361,-0.09300000000000001
37,37,32,38,TUE,7:30PM,6:00PM,DUBAI,KINGS XI PUNJAB,DELHI CAPITALS,607.0,654.8,525.0,650.0,0.4320987654320987,0.4666666666666667,-0.26,-0.23
38,38,33,39,WED,7:30PM,6:00PM,ABU DHABI,KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE,583.4,614.0,618.0,654.0,0.5760869565217391,0.5061728395061729,0.6,-0.589
39,39,34,40,THU,7:30PM,6:00PM,DUBAI,RAJASTHAN ROYALS,SUNRISERS HYDERABAD,614.2,669.6,617.6,675.8,0.525,0.5,-0.09300000000000001,0.486
40,40,35,41,FRI,7:30PM,6:00PM,SHARJAH,CHENNAI SUPER KINGS,MUMBAI INDIANS,612.2,668.8,646.6,563.4,0.6404494382022472,0.5714285714285714,0.361,0.507
41,41,36,42,SAT,3:30PM,2:00PM,ABU DHABI,KOLKATA KNIGHT RIDERS,DELHI CAPITALS,583.4,654.8,618.0,650.0,0.5760869565217391,0.4666666666666667,0.6,-0.23
42,42,36,43,SAT,7:30PM,6:00PM,DUBAI,KINGS XI PUNJAB,SUNRISERS HYDERABAD,607.0,669.6,525.0,675.8,0.4320987654320987,0.5,-0.26,0.486
43,43,37,44,SUN,3:30PM,2:00PM,DUBAI,ROYAL CHALLENGERS BANGALORE,CHENNAI SUPER KINGS,614.0,612.2,654.0,646.6,0.5061728395061729,0.6404494382022472,-0.589,0.361
44,44,37,45,SUN,7:30PM,6:00PM,ABU DHABI,RAJASTHAN ROYALS,MUMBAI INDIANS,614.2,668.8,617.6,563.4,0.525,0.5714285714285714,-0.09300000000000001,0.507
45,45,38,46,MON,7:30PM,6:00PM,SHARJAH,KOLKATA KNIGHT RIDERS,KINGS XI PUNJAB,583.4,607.0,618.0,525.0,0.5760869565217391,0.4320987654320987,0.6,-0.26
46,46,39,47,TUE,7:30PM,6:00PM,DUBAI,SUNRISERS HYDERABAD,DELHI CAPITALS,669.6,654.8,675.8,650.0,0.5,0.4666666666666667,0.486,-0.23
47,47,40,48,WED,7:30PM,6:00PM,ABU DHABI,MUMBAI INDIANS,ROYAL CHALLENGERS BANGALORE,668.8,614.0,563.4,654.0,0.5714285714285714,0.5061728395061729,0.507,-0.589
48,48,41,49,THU,7:30PM,6:00PM,DUBAI,CHENNAI SUPER KINGS,KOLKATA KNIGHT RIDERS,612.2,583.4,646.6,618.0,0.6404494382022472,0.5760869565217391,0.361,0.6
49,49,42,50,FRI,7:30PM,6:00PM,ABU DHABI,KINGS XI PUNJAB,RAJASTHAN ROYALS,607.0,614.2,525.0,617.6,0.4320987654320987,0.525,-0.26,-0.09300000000000001
50,50,43,51,SAT,3:30PM,2:00PM,DUBAI,DELHI CAPITALS,MUMBAI INDIANS,654.8,668.8,650.0,563.4,0.4666666666666667,0.5714285714285714,-0.23,0.507
51,51,43,52,SAT,7:30PM,6:00PM,SHARJAH,ROYAL CHALLENGERS BANGALORE,SUNRISERS HYDERABAD,614.0,669.6,654.0,675.8,0.5061728395061729,0.5,-0.589,0.486
52,52,44,53,SUN,3:30PM,2:00PM,ABU DHABI,CHENNAI SUPER KINGS,KINGS XI PUNJAB,612.2,607.0,646.6,525.0,0.6404494382022472,0.4320987654320987,0.361,-0.26
53,53,44,54,SUN,7:30PM,6:00PM,DUBAI,KOLKATA KNIGHT RIDERS,RAJASTHAN ROYALS,583.4,614.2,618.0,617.6,0.5760869565217391,0.525,0.6,-0.09300000000000001
54,54,45,55,MON,7:30PM,6:00PM,ABU DHABI,DELHI CAPITALS,ROYAL CHALLENGERS BANGALORE,654.8,614.0,650.0,654.0,0.4666666666666667,0.5061728395061729,-0.23,-0.589
55,55,46,56,TUE,7:30PM,6:00PM,SHARJAH,SUNRISERS HYDERABAD,MUMBAI INDIANS,669.6,668.8,675.8,563.4,0.5,0.5714285714285714,0.486,0.507
