,id,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3,Top Batsmen Points(Team A),Top Batsmen Points(Team B),Top Baller Points(Team A),Top Baller Points(Team B),Match Won after winning Toss Team A,Match Won after winning Toss Team B,runs in pp team a,runs in pp team b,Run Rate(Team A),Run Rate(Team B),Most Value Player Points(Team A),Most Value Player Points(Team B),Win ratio (Team A),Win ratio (Team B),new_col,team a ground,team b ground
729,11325,MI,DC,MI,bat,normal,0,MI,40,0,HH Pandya,Feroz Shah Kotla Ground,Nigel Llong,Bruce Oxenford,Anil Chaudhary,616,537,759,810,0.5555555560000001,0.0,59,48,0.42100000000000004,0.044000000000000004,830.0,677.0,0.5,0.5,730,away,away
730,11326,RCB,KKR,KKR,field,normal,0,RCB,10,0,V Kohli,Eden Gardens,Ian Gould,Nitin Menon,Anil Dandekar,641,589,569,406,0.506493506,0.563218391,44,41,-0.607,0.027999999999999997,560.5,756.0,0.41,0.59,731,away,home
731,11327,MI,RR,RR,field,normal,0,RR,0,5,SPD Smith,Sawai Mansingh Stadium,S Ravi,Yeshwant Barde,O Nandan,616,743,759,608,0.5555555560000001,0.536231884,52,65,0.42100000000000004,-0.449,830.0,568.0,0.55,0.45,732,away,home
732,11328,KXIP,DC,DC,field,normal,0,DC,0,5,SS Iyer,Feroz Shah Kotla Ground,Ulhas Gandhe,C ShamshuDCin,Bruce Oxenford,656,537,446,810,0.42666666700000005,0.0,50,60,-0.251,0.044000000000000004,657.0,677.0,0.59,0.41,733,away,away
733,11329,KKR,SRH,SRH,field,normal,0,SRH,0,9,K Ahmed,Rajiv Gandhi Intl. Cricket Stadium,Nitin Menon,Nigel Llong,Ian Gould,589,610,406,661,0.563218391,0.5,62,76,0.027999999999999997,0.5770000000000001,756.0,694.5,0.6,0.4,734,away,home
734,11330,RCB,CSK,CSK,field,normal,0,RCB,1,0,PA Patel,M. Chinnaswamy Stadium,Vineet Kulkarni,Rod Tucker,Anil Chaudhary,641,658,569,700,0.506493506,0.649350649,50,38,-0.607,0.131,560.5,764.0,0.33,0.67,735,away,away
735,11331,RR,DC,DC,field,normal,0,DC,0,6,RR Pant,Sawai Mansingh Stadium,S Ravi,Nanda Kishore,Yeshwant Barde,743,537,608,810,0.536231884,0.0,52,59,-0.449,0.044000000000000004,568.0,677.0,0.61,0.39,736,home,away
736,11332,SRH,CSK,CSK,field,normal,0,CSK,0,6,SR Watson,M. A. Chidambaram Stadium,Nigel Llong,Anil Chaudhary,Vineet Kulkarni,610,658,661,700,0.5,0.649350649,56,49,0.5770000000000001,0.131,694.5,764.0,0.2,0.8,737,away,home
737,11333,RCB,KXIP,KXIP,field,normal,0,RCB,17,0,AB de Villiers,M. Chinnaswamy Stadium,Bruce Oxenford,C ShamshuDCin,Rod Tucker,641,656,569,446,0.506493506,0.42666666700000005,75,71,-0.607,-0.251,560.5,657.0,0.45,0.55,738,away,away
738,11334,KKR,RR,RR,field,normal,0,RR,0,3,VR Aaron,Eden Gardens,Ian Gould,Anil Dandekar,Nitin Menon,589,743,406,608,0.563218391,0.536231884,37,55,0.027999999999999997,-0.449,756.0,568.0,0.5,0.5,739,home,away
739,11335,MI,CSK,CSK,field,normal,0,MI,46,0,RG Sharma,M. A. Chidambaram Stadium,Nigel Llong,Anil Chaudhary,Vineet Kulkarni,616,658,759,700,0.5555555560000001,0.649350649,46,40,0.42100000000000004,0.131,830.0,764.0,0.54,0.46,740,away,home
740,11336,SRH,RR,RR,field,normal,0,RR,0,7,JD Unadkat,Sawai Mansingh Stadium,Yeshwant Barde,Nand Kishore,Sundaram Ravi,610,743,661,608,0.5,0.536231884,53,61,0.5770000000000001,-0.449,694.5,568.0,0.56,0.44,741,away,home
741,11337,DC,RCB,DC,bat,normal,0,DC,16,0,S Dhawan,Feroz Shah Kotla Ground,Bruce Oxenford,KN Ananthapadmanabhan,C ShamshuDCin,537,641,810,569,0.0,0.506493506,61,66,0.044000000000000004,-0.607,677.0,560.5,0.33,0.67,742,away,away
742,11338,KKR,MI,MI,field,normal,0,KKR,34,0,AD Russell,Eden Gardens,Ian Gould,Nitin Menon,Anil Dandekar,589,616,406,759,0.563218391,0.5555555560000001,50,42,0.027999999999999997,0.42100000000000004,756.0,830.0,0.22,0.78,743,home,away
743,11339,SRH,KXIP,KXIP,field,normal,0,SRH,45,0,DA Warner,Rajiv Gandhi Intl. Cricket Stadium,S Ravi,O Nandan,Nanda Kishore,610,656,661,446,0.5,0.42666666700000005,89,47,0.5770000000000001,-0.251,694.5,657.0,0.75,0.25,744,home,away
744,11340,RCB,RR,RR,field,no result,0,,0,0,,M. Chinnaswamy Stadium,Nigel Llong,Ulhas Gandhe,Anil Chaudhary,641,743,569,608,0.506493506,0.536231884,65,42,-0.607,-0.449,560.5,568.0,0.47,0.53,745,away,away
745,11341,CSK,DC,DC,field,normal,0,CSK,80,0,MS Dhoni,M. A. Chidambaram Stadium,Anil Dandekar,Nitin Menon,Ian Gould,658,537,700,810,0.649350649,0.0,28,59,0.131,0.044000000000000004,764.0,677.0,0.67,0.33,746,home,away
746,11342,MI,SRH,MI,bat,tie,0,MI,0,0,JJ Bumrah,Wankhede Stadium,S Ravi,O Nandan,Nanda Kishore,616,610,759,661,0.5555555560000001,0.5,45,60,0.42100000000000004,0.5770000000000001,830.0,694.5,0.42,0.58,747,home,away
747,11343,KXIP,KKR,KKR,field,normal,0,KKR,0,7,S Gill,IS Bindra Stadium,Bruce Oxenford,C ShamshuDCin,KN Ananthapadmanabhan,656,589,446,406,0.42666666700000005,0.563218391,41,63,-0.251,0.027999999999999997,657.0,756.0,0.35,0.65,748,home,away
748,11344,RR,DC,RR,bat,normal,0,DC,0,5,A Mishra,Feroz Shah Kotla Ground,Ian Gould,Anil Dandekar,Nitin Menon,743,537,608,810,0.536231884,0.0,31,50,-0.449,0.044000000000000004,568.0,677.0,0.61,0.39,749,away,away
749,11345,SRH,RCB,RCB,field,normal,0,RCB,0,4,S Hetmyer,M. Chinnaswamy Stadium,Nigel Llong,Anil Chaudhary,Ulhas Gandhe,610,641,661,569,0.5,0.506493506,53,53,0.5770000000000001,-0.607,694.5,560.5,0.58,0.42,750,away,away
750,11346,CSK,KXIP,KXIP,field,normal,0,KXIP,0,6,KL Rahul,IS Bindra Stadium,KN Ananthapadmanabhan,C ShamshuDCin,Bruce Oxenford,658,656,700,446,0.649350649,0.42666666700000005,44,75,0.131,-0.251,764.0,657.0,0.58,0.42,751,away,home
751,11347,KKR,MI,MI,field,normal,0,MI,0,9,HH Pandya,Wankhede Stadium,Nanda Kishore,O Nandan,S Ravi,589,616,406,759,0.563218391,0.5555555560000001,51,48,0.027999999999999997,0.42100000000000004,756.0,830.0,0.22,0.78,752,away,home
752,11412,CSK,MI,CSK,bat,normal,0,MI,0,6,AS Yadav,M. A. Chidambaram Stadium,Nigel Llong,Nitin Menon,Ian Gould,658,616,700,759,0.649350649,0.5555555560000001,33,47,0.131,0.42100000000000004,764.0,830.0,0.46,0.54,753,home,away
753,11413,SRH,DC,DC,field,normal,0,DC,0,2,RR Pant,ACA-VDECA Stadium,,,,610,537,661,810,0.5,0.0,54,56,0.5770000000000001,0.044000000000000004,694.5,677.0,0.67,0.33,754,away,away
754,11414,DC,CSK,CSK,field,normal,0,CSK,0,6,F du Plessis,ACA-VDECA Stadium,Sundaram Ravi,Bruce Oxenford,Chettithody ShamshuDCin,537,658,810,700,0.0,0.649350649,42,42,0.044000000000000004,0.131,677.0,764.0,0.33,0.67,755,away,away
755,11415,MI,CSK,MI,bat,normal,0,MI,1,0,JJ Bumrah,Rajiv Gandhi Intl. Cricket Stadium,Nitin Menon,Ian Gould,Nigel Llong,616,658,759,700,0.5555555560000001,0.649350649,46,54,0.42100000000000004,0.131,830.0,764.0,0.54,0.46,756,away,away
