Run_Rate(team1),Run_Rate(team2)
0.374,-0.297
-0.341,0.21899999999999997
0.021,-0.478
1.084,-0.514
-0.297,0.21899999999999997
1.084,0.021
-0.341,0.374
-0.514,0.21899999999999997
0.374,0.021
-0.478,-0.297
1.084,0.21899999999999997
-0.514,-0.341
-0.478,0.374
-0.297,0.021
1.084,-0.341
1.084,0.21899999999999997
0.374,-0.297
-0.297,0.21899999999999997
0.374,1.084
0.44299999999999995,0.433
0.222,-0.691
