id,season,team A,team B,Win_ratio_A,Win_ratio_B
96,2016,Sunrisers Hyderabad,Kolkata Knight Riders,0.3,0.7
97,2016,Sunrisers Hyderabad,Chennai Super Kings,0.3,0.7
98,2016,Sunrisers Hyderabad,Rajasthan Royals,0.43,0.57
99,2016,Sunrisers Hyderabad,Deccan Chargers,0,0
100,2016,Sunrisers Hyderabad,Kochi Tuskers Kerala,0,0
101,2016,Sunrisers Hyderabad,Pune Warriors,1,0
102,2016,Delhi Daredevils,Kings XI Punjab,0.44,0.56
103,2016,Delhi Daredevils,Mumbai Indians,0.5,0.5
104,2016,Delhi Daredevils,Rising Pune Supergiants,0,0
105,2016,Delhi Daredevils,Gujarat Lions,0,0
106,2016,Delhi Daredevils,Kolkata Knight Riders,0.4,0.6
107,2016,Delhi Daredevils,Chennai Super Kings,0.32,0.68
108,2016,Delhi Daredevils,Rajasthan Royals,0.375,0.625
109,2016,Delhi Daredevils,Deccan Chargers,0.64,0.36
110,2016,Delhi Daredevils,Kochi Tuskers Kerala,0.5,0.5
111,2016,Delhi Daredevils,Pune Warriors,0.6,0.4
112,2016,Kings XI Punjab,Mumbai Indians,0.5,0.5
113,2016,Kings XI Punjab,Rising Pune Supergiants,0,0
114,2016,Kings XI Punjab,Gujarat Lions,0,0
115,2016,Kings XI Punjab,Kolkata Knight Riders,0.35,0.56
116,2016,Kings XI Punjab,Chennai Super Kings,0.41,0.59
117,2016,Kings XI Punjab,Rajasthan Royals,0.4,0.6
118,2016,Kings XI Punjab,Deccan Chargers,0.7,0.3
119,2016,Kings XI Punjab,Kochi Tuskers Kerala,1,0
120,2016,Kings XI Punjab,Pune Warriors,0.5,0.5
121,2016,Mumbai Indians,Rising Pune Supergiants,0,0
122,2016,Mumbai Indians,Gujarat Lions,0,0
123,2016,Mumbai Indians,Kolkata Knight Riders,0.69,0.31
124,2016,Mumbai Indians,Chennai Super Kings,0.55,0.45
125,2016,Mumbai Indians,Rajasthan Royals,0.625,0.375
126,2016,Mumbai Indians,Deccan Chargers,0.6,0.4
127,2016,Mumbai Indians,Kochi Tuskers Kerala,0,1
128,2016,Mumbai Indians,Pune Warriors,0.83,0.17
129,2016,Rising Pune Supergiants,Gujarat Lions,0,0
130,2016,Rising Pune Supergiants,Kolkata Knight Riders,0,0
131,2016,Rising Pune Supergiants,Chennai Super Kings,0,0
132,2016,Rising Pune Supergiants,Rajasthan Royals,0,0
133,2016,Rising Pune Supergiants,Deccan Chargers,0,0
134,2016,Rising Pune Supergiants,Kochi Tuskers Kerala,0,0
135,2016,Rising Pune Supergiants,Pune Warriors,0,0
136,2016,Gujarat Lions,Kolkata Knight Riders,0,0
137,2016,Gujarat Lions,Chennai Super Kings,0,0
138,2016,Gujarat Lions,Rajasthan Royals,0,0
139,2016,Gujarat Lions,Deccan Chargers,0,0
140,2016,Gujarat Lions,Kochi Tuskers Kerala,0,0
141,2016,Gujarat Lions,Pune Warriors,0,0
142,2016,Kolkata Knight Riders,Chennai Super Kings,0.375,0.625
143,2016,Kolkata Knight Riders,Rajasthan Royals,0.35,0.65
144,2016,Kolkata Knight Riders,Deccan Chargers,0.77,0.23
145,2016,Kolkata Knight Riders,Kochi Tuskers Kerala,0,1
146,2016,Kolkata Knight Riders,Pune Warriors,0.8,0.2
147,2016,Chennai Super Kings,Rajasthan Royals,0.65,0.35
148,2016,Chennai Super Kings,Deccan Chargers,0.6,0.4
149,2016,Chennai Super Kings,Kochi Tuskers Kerala,0.5,0.5
150,2016,Chennai Super Kings,Pune Warriors,0.67,0.33
151,2016,Rajasthan Royals,Deccan Chargers,0.78,0.22
152,2016,Rajasthan Royals,Kochi Tuskers Kerala,0.5,0.5
153,2016,Rajasthan Royals,Pune Warriors,0.8,0.2
154,2016,Deccan Chargers,Kochi Tuskers Kerala,1,0
155,2016,Deccan Chargers,Pune Warriors,0.75,0.25
156,2016,Kochi Tuskers Kerala,Pune Warriors,0,1
157,2015,Royal Challengers Bangalore,Sunrisers Hyderabad,0.5,0.5
158,2015,Royal Challengers Bangalore,Delhi Daredevils,0.62,0.38
159,2015,Royal Challengers Bangalore,Kings XI Punjab,0.36,0.64
160,2015,Royal Challengers Bangalore,Mumbai Indians,0.47,0.53
161,2015,Royal Challengers Bangalore,Rising Pune Supergiants,0,0
162,2015,Royal Challengers Bangalore,Gujarat Lions,0,0
163,2015,Royal Challengers Bangalore,Kolkata Knight Riders,0.43,0.57
164,2015,Royal Challengers Bangalore,Chennai Super Kings,0.44,0.56
165,2015,Royal Challengers Bangalore,Rajasthan Royals,0.46,0.54
166,2015,Royal Challengers Bangalore,Deccan Chargers,0.45,0.55
167,2015,Royal Challengers Bangalore,Kochi Tuskers Kerala,1,0
168,2015,Royal Challengers Bangalore,Pune Warriors,1,0
169,2015,Sunrisers Hyderabad,Delhi Daredevils,1,0
170,2015,Sunrisers Hyderabad,Kings XI Punjab,0.5,0.5
171,2015,Sunrisers Hyderabad,Mumbai Indians,0.5,0.5
172,2015,Sunrisers Hyderabad,Rising Pune Supergiants,0,0
173,2015,Sunrisers Hyderabad,Gujarat Lions,0,0
174,2015,Sunrisers Hyderabad,Kolkata Knight Riders,0.25,0.75
175,2015,Sunrisers Hyderabad,Chennai Super Kings,0.25,0.75
176,2015,Sunrisers Hyderabad,Rajasthan Royals,0.4,0.6
177,2015,Sunrisers Hyderabad,Deccan Chargers,0,0
178,2015,Sunrisers Hyderabad,Kochi Tuskers Kerala,0,0
179,2015,Sunrisers Hyderabad,Pune Warriors,1,0
180,2015,Delhi Daredevils,Kings XI Punjab,0.36,0.64
181,2015,Delhi Daredevils,Mumbai Indians,0.5,0.5
182,2015,Delhi Daredevils,Rising Pune Supergiants,0,0
183,2015,Delhi Daredevils,Gujarat Lions,0,0
184,2015,Delhi Daredevils,Kolkata Knight Riders,0.46,0.53
