team A,team B,Team A Ground,Team B Ground,Top Batsmen Points(Team A),Top Batsmen Points(Team B),Top Baller Points(Team A),Top Baller Points(Team B),Match Won after winning Toss Team A,Match Won after winning Toss Team B,Run Rate(Team A),Run Rate(Team B),Most Value Player Points(Team A),Most Value Player Points(Team B),Toss_Winner,runs in pp team a,runs in pp team b,Win ratio (Team A),Win ratio (Team B)
KKR,RCB,home,away,583.4,614.0,618.0,654.0,0.576086957,0.50617284,0.6,-0.589,668.0416667000001,701.4166667000001,KKR,51,45,0.58,0.42
RR,SRH,home,away,614.2,669.6,617.6,675.8,0.525,0.5,-0.09300000000000001,0.486,649.85,734.5,RR,41,46,0.45,0.55
CSK,MI,home,away,612.2,668.8,646.6,563.4,0.640449438,0.571428571,0.361,0.507,741.55,696.8333332999999,CSK,42,45,0.39,0.61
KKR,DC,home,away,583.4,654.8,618.0,650.0,0.576086957,0.46666666700000003,0.6,-0.23,668.0416667000001,582.0833332999999,KKR,39,51,0.62,0.38
KXIP,SRH,home,away,607.0,669.6,525.0,675.8,0.432098765,0.5,-0.26,0.486,629.875,734.5,SRH,49,48,0.29,0.71
RCB,CSK,home,away,614.0,612.2,654.0,646.6,0.50617284,0.640449438,-0.589,0.361,701.4166667000001,741.55,CSK,42,43,0.35,0.65
RR,MI,home,away,614.2,668.8,617.6,563.4,0.525,0.571428571,-0.09300000000000001,0.507,649.85,696.8333332999999,RR,42,44,0.5,0.5
KKR,KXIP,home,away,583.4,607.0,618.0,525.0,0.576086957,0.432098765,0.6,-0.26,668.0416667000001,629.875,KKR,52,47,0.68,0.32
SRH,DC,home,away,669.6,654.8,675.8,650.0,0.5,0.46666666700000003,0.486,-0.23,734.5,582.0833332999999,SRH,55,48,0.67,0.33
MI,RCB,home,away,668.8,614.0,563.4,654.0,0.571428571,0.50617284,0.507,-0.589,696.8333332999999,701.4166667000001,RCB,46,44,0.64,0.36
CSK,KKR,home,away,612.2,583.4,646.6,618.0,0.640449438,0.576086957,0.361,0.6,741.55,668.0416667000001,KKR,45,43,0.65,0.35
KXIP,RR,home,away,607.0,614.2,525.0,617.6,0.432098765,0.525,-0.26,-0.09300000000000001,629.875,649.85,RR,45,50,0.47,0.43
DC,MI,home,away,654.8,668.8,650.0,563.4,0.46666666700000003,0.571428571,-0.23,0.507,582.0833332999999,696.8333332999999,MI,47,53,0.5,0.5
RCB,SRH,home,away,614.0,669.6,654.0,675.8,0.50617284,0.5,-0.589,0.486,701.4166667000001,734.5,SRH,47,53,0.43,0.57
CSK,KXIP,home,away,612.2,607.0,646.6,525.0,0.640449438,0.432098765,0.361,-0.26,741.55,629.875,KXIP,47,49,0.43,0.57
KKR,RR,home,away,583.4,614.2,618.0,617.6,0.576086957,0.525,0.6,-0.09300000000000001,668.0416667000001,649.85,KKR,43,45,0.5,0.5
DC,RCB,home,away,654.8,614.0,650.0,654.0,0.46666666700000003,0.50617284,-0.23,-0.589,582.0833332999999,701.4166667000001,DC,60,54,0.3,0.7
SRH,MI,home,away,669.6,668.8,675.8,563.4,0.5,0.571428571,0.486,0.507,734.5,696.8333332999999,MI,44,41,0.5,0.5
