Royal Challengers Bangalore,Sunrisers Hyderabad,,,,,0,1,,,,2,0,,,,,,,,1
Royal Challengers Bangalore,Sunrisers Hyderabad,,,,,0,1,,,,2,0,,,,,,,,0
Royal Challengers Bangalore,Sunrisers Hyderabad,,,,,0,1,,,,2,0,,,,,,,,4
Royal Challengers Bangalore,Sunrisers Hyderabad,,,,,0,2,,,,2,0,,,,,,,,0
Royal Challengers Bangalore,Sunrisers Hyderabad,,,,,0,2,,,,2,0,,,,,,,,1
Royal Challengers Bangalore,Sunrisers Hyderabad,,,,,0,2,,,,2,0,,,,,,,,0
Royal Challengers Bangalore,Sunrisers Hyderabad,,,,,0,3,,,,2,0,,,,,,,,0
Royal Challengers Bangalore,Sunrisers Hyderabad,,,,,0,3,,,,2,0,,,,,,,,1
Royal Challengers Bangalore,Sunrisers Hyderabad,,,,,0,3,,,,2,0,,,,,,,,1
Royal Challengers Bangalore,Sunrisers Hyderabad,,,,,0,4,,,,2,0,,,,,,,,1
Royal Challengers Bangalore,Sunrisers Hyderabad,,,,,0,4,,,,2,0,,,,,,,,2
Royal Challengers Bangalore,Sunrisers Hyderabad,,,,,0,4,,,,2,0,,,,,,,,0
Royal Challengers Bangalore,Sunrisers Hyderabad,,,,,0,4,,,,2,0,,,,,,,,4
Royal Challengers Bangalore,Sunrisers Hyderabad,,,,,0,5,,,,2,0,,,,,,,,0
Royal Challengers Bangalore,Sunrisers Hyderabad,,,,,0,5,,,,2,1,,,,,,,,1
Royal Challengers Bangalore,Sunrisers Hyderabad,,,,,0,5,,,,2,0,,,,,,,,0
Royal Challengers Bangalore,Sunrisers Hyderabad,,,,,0,6,,,,2,0,,,,,,,,0
